,Model,Days,Secondhand Price(NT$),Original Price(NT$),Mileage(km)
0,A3 Sedan 35 TFSI Premium,334,1220000,1560000,950
1,S5 Coup_,365,2880000,3470000,7350
2,A5 Coup_ 45 TFSI quattro,365,2080000,None,14300
3,A1 Sportback,1736,888000,None,86699
4,Q7 45 TDI quattro,1065,2060000,None,46900
5,Q2 35 TFSI Luxury,275,1190000,1430000,4500
6,A4 Sedan 40 TFSI + Premium package,184,1838000,None,9900
7,A6 Sedan 40 TFSI,1218,1450000,None,20500
8,A5 Coup_ 45 TFSI quattro,275,2380000,None,250
9,A7 Sportback 40 TFSI quattro,275,2680000,3410000,250
10,TTS,31,2880000,None,2058
11,Q5 35 TDI quattro,549,1860000,2320000,16625
12,Q5 45 TFSIq ,184,2060000,None,3010
13,Q7 40 TFSI quattro Luxury,1005,2210000,3100000,14700
14,Q7 45 TDI quattro,396,2980000,None,2058
15,Q7 40 TFSI quattro Luxury,184,2550000,3100000,9239
16,A4 Sedan 40 TFSI + Premium package,184,1598000,None,5000
17,A1 Sportback 25 TFSI,396,890000,1170000,11519
18,A3 Sportback 35 TFSI Premium,396,1190000,1499000,11273
19,Q7 45 TDI quattro,671,2630000,None,7500
20,Q5 45 TFSIq ,426,1910000,None,16759
21,A1 Sportback 25 TFSI,275,950000,1170000,4900
22,A1 Sportback 25 TFSI,275,950000,1170000,3900
23,Q2 35 TFSI Luxury,518,1160000,1430000,12900
24,Q5 45 TFSIq ,275,2050000,None,2058
25,A4 Sedan 40 TFSI Sport,275,1620000,None,1700
26,Q3 35 TFSI quattro,275,1710000,1990000,2058
27,A5 Sportback 40 TFSI Sport,457,1900000,None,8500
28,A8 50 TFSI quattro,518,2490000,4380000,9700
29,Q5 40 TFSI quattro,944,1550000,None,7150
30,Q2 35 TFSI Sport + Premium package,518,1280000,None,12600
31,A8 50 TFSI quattro,518,2590000,4380000,3850
32,A4 Sedan 40 TFSI + Premium package,275,1570000,None,1350
33,A8 50 TDI quattro,457,2590000,3890000,750
34,A5 Sportback 40 TFSI Sport,396,1930000,None,3450
35,A6 Sedan 35 TFSI,579,1530000,2540000,16000
36,A6 Sedan 35 TFSI,457,1740000,2540000,2058
37,A6 Sedan 35 TDI,457,1680000,2490000,2058
38,A6 Sedan 35 TFSI,640,1610000,2540000,5600
39,Q3 35 TFSI quattro,579,1570000,1990000,7100
40,A8 50 TDI quattro,457,2590000,3890000,1550
41,A6 Sedan 35 TFSI,852,1500000,2540000,12950
42,Q2 35 TFSI Luxury + Premium package,396,1240000,None,2058
43,Q7 45 TDI quattro,396,3020000,None,2058
44,A4 Sedan 45 TFSI quattro,365,1910000,None,2058
45,Q5 45 TFSIq ,275,2050000,None,2058
46,Q5 45 TFSIq ,275,2240000,None,2058
47,A6 Sedan 35 TDI,457,1680000,2490000,2058
48,Q3 30 TFSI,275,1430000,1710000,2058
49,Q3 30 TFSI,334,1410000,1710000,2058
50,A6 Sedan 35 TFSI,457,1740000,2540000,2068
51,A1 Sportback 25 TFSI,275,980000,1170000,2068
52,A1 Sportback 25 TFSI,275,1000000,1170000,2068
53,RS 6 Avant performance,275,6410000,7410000,2068
54,RS 6 Avant performance,275,6410000,7410000,2058
55,Q3 35 TFSI quattro,852,1470000,1990000,8000
56,Q2 35 TFSI Sport + Premium package,518,1230000,None,3650
57,Q7 40 TFSI quattro Luxury,275,2920000,3100000,1500
58,Q7 45 TDI quattro,396,2970000,None,2100
59,S6 Avant ,275,4090000,None,2025
60,A4 Avant 40 TFSI,275,1760000,None,2023
61,A3 Sedan 35 TFSI Premium,61,1420000,1560000,4220
62,Q2 35 TFSI Luxury + Premium package,334,1240000,None,2023
63,A6 Sedan 35 TFSI,549,1740000,2540000,2003
64,A5 Coup_ 40 TFSI + Premium package,184,1880000,None,3460
65,Q2 35 TFSI Luxury + Premium package,396,1170000,None,4900
66,Q3 30 TFSI,426,1320000,1710000,11356
67,A4 Sedan 40 TFSI + Premium package,122,1590000,None,3708
68,Q5 35 TDI quattro,61,2150000,2320000,4530
69,Q2 35 TFSI Luxury + Premium package,275,1280000,None,4225
70,A3 Sportback 35 TFSI Premium,396,1220000,1499000,4038
71,A3 Sedan 35 TFSI Premium,396,1190000,1560000,12803
72,Q7 45 TDI quattro,396,3050000,None,2003
73,A1 Sportback 30 TFSI,1583,750000,1420000,54924
74,A8 L 50 TFSI quattro,365,4180000,None,1283
75,Q5,2132,980000,None,132175
76,A5 Sportback 45 TFSIq,214,2680000,None,1243
77,A6 Sedan 40 TFSI,1065,1680000,None,26221
78,A4 allroad quattro,184,2480000,None,2500
79,A3 Sportback 35 TFSI Premium,365,1280000,1499000,6441
80,A3 Sportback 35 TFSI Premium,184,1380000,1499000,2876
81,Q7 40 TFSI quattro Luxury,426,2500000,3100000,9600
82,A3 Sedan 35 TFSI,518,1190000,None,4935
83,S8 plus,275,6660000,None,12076
84,Q5 45 TFSIq ,275,2150000,None,2800
85,Q7 45 TDI quattro,275,3280000,None,1990
86,Q2 35 TFSI Luxury,153,1260000,1430000,2008
87,A6 Sedan 35 TDI,457,1780000,2490000,2500
88,A5 Sportback 40 TFSI,214,2080000,None,2000
89,A4 Sedan 40 TFSI + Premium package,184,1780000,None,2500
90,Q3 30 TFSI,275,1430000,1710000,2001
91,A6 Sedan 35 TFSI,671,1500000,2540000,19074
92,A4 Sedan 40 TFSI,457,1390000,None,8268
93,Q5 45 TFSIq ,396,1930000,None,18579
94,A6 Sedan 35 TFSI,791,1500000,2540000,23907
95,RS 6 Avant performance,334,5800000,7410000,4606
96,Q2 35 TFSI Luxury,487,1140000,1430000,21750
97,A5 Sportback 40 TFSI Sport,610,1850000,None,9521
98,Q2 35 TFSI Luxury,487,1160000,1430000,16750
99,Q7 45 TFSI quattro,852,2680000,3880000,7000
100,Q7 45 TFSI quattro,334,3280000,3880000,4760
101,Q7 45 TDI quattro,275,3150000,None,3450
102,Q7 45 TDI quattro,275,3150000,None,3580
103,Q5 35 TDIq Premium,184,2280000,None,2750
104,Q3 35 TFSI quattro,457,1550000,1990000,7275
105,Q3 35 TFSI quattro,396,1650000,1990000,4210
106,Q3 35 TFSI quattro,334,1680000,1990000,4730
107,Q3 35 TFSI quattro,275,1730000,1990000,3160
108,Q3 30 TFSI,184,1460000,1710000,2190
109,Q2 35 TFSI Luxury,487,1140000,1430000,20403
110,Q7 45 TDI quattro,365,2960000,None,2001
111,A6 Sedan 35 TFSI,457,1780000,2540000,2450
112,A6 Sedan 35 TDI,184,1820000,2490000,3290
113,A5 Coup_ 40 TFSI,640,1700000,None,2950
114,A5 Coup_ 40 TFSI Sport,275,1880000,2270000,4260
115,A5 Coup_ 40 TFSI Sport + Premium package,275,1950000,None,3850
116,A4 Sedan 40 TFSI,457,1550000,None,3560
117,A4 Sedan 40 TFSI Sport + Premium package,275,1730000,None,2560
118,A4 Sedan 40 TFSI Sport + Premium package,184,1730000,None,4120
119,A4 Sedan 40 TFSI,610,1420000,None,6931
120,A4 Sedan 45 TFSI quattro,275,2100000,None,3420
121,A4 Sedan 45 TFSI quattro,275,2100000,None,2650
122,A4 Sedan 40 TFSI,610,1430000,None,9300
123,A4 Sedan 40 TFSI,914,1350000,None,11705
124,A3 Sedan 40 TFSI,549,1200000,None,6375
125,A1 Sportback 25 TFSI,153,1000000,1170000,3210